age_calBP	d18OcarbVPDB	d18OcarbVint	d18Ocarbivc
117000	-8.39	-8.39	-8.56
117100	-8.39	-8.39	-8.56
117200	-8.41	-8.41	-8.57
117300	-8.40	-8.40	-8.56
117400	-8.38	-8.38	-8.53
117500	-8.40	-8.40	-8.55
117600	-8.43	-8.43	-8.58
117700	-8.39	-8.39	-8.53
117800	-8.33	-8.33	-8.47
117900	-8.39	-8.39	-8.53
118000	-8.40	-8.40	-8.54
118100	-8.50	-8.50	-8.63
118200	-8.47	-8.47	-8.60
118300	-8.51	-8.51	-8.64
118400	-8.62	-8.62	-8.75
118500	-8.56	-8.56	-8.68
118600	-8.75	-8.75	-8.87
118700	-8.49	-8.49	-8.61
118800	-8.65	-8.65	-8.76
118900	-8.67	-8.67	-8.78
119000	-8.62	-8.62	-8.73
119100	-8.63	-8.63	-8.74
119200	-8.79	-8.79	-8.89
119300	-8.78	-8.78	-8.88
119400	-8.88	-8.88	-8.98
119500	-9.05	-9.05	-9.14
119600	-9.16	-9.16	-9.25
119700	-9.21	-9.21	-9.30
119800	-9.28	-9.28	-9.37
119900	-9.26	-9.26	-9.34
120000	-9.46	-9.46	-9.54
120100	-9.64	-9.64	-9.72
120200	-9.72	-9.72	-9.79
120300	-9.61	-9.61	-9.68
120400	-9.42	-9.42	-9.48
120500	-9.41	-9.41	-9.47
120600	-9.36	-9.36	-9.42
120700	-9.40	-9.40	-9.45
120800	-9.49	-9.49	-9.54
120900	-9.50	-9.50	-9.54
121000	-9.43	-9.43	-9.47
121100	-9.46	-9.46	-9.50
121200	-9.09	-9.09	-9.12
121300	-999	-8.95	-8.98
121400	-8.81	-8.81	-8.84
121500	-8.71	-8.71	-8.73
121600	-8.71	-8.71	-8.73
121700	-8.72	-8.72	-8.74
121800	-8.67	-8.67	-8.69
121900	-8.84	-8.84	-8.86
122000	-8.69	-8.69	-8.70
122100	-8.58	-8.58	-8.59
122200	-8.69	-8.69	-8.70
122300	-8.57	-8.57	-8.58
122400	-8.51	-8.51	-8.52
122500	-8.50	-8.50	-8.51
122600	-8.52	-8.52	-8.53
122700	-8.54	-8.54	-8.55
122800	-8.51	-8.51	-8.52
122900	-8.49	-8.49	-8.50
123000	-8.46	-8.46	-8.47
123100	-999	-8.40	-8.41
123200	-8.34	-8.34	-8.35
123300	-8.35	-8.35	-8.36
123400	-8.37	-8.37	-8.38
123500	-8.62	-8.62	-8.63
123600	-999	-8.55	-8.56
123700	-8.48	-8.48	-8.49
123800	-8.46	-8.46	-8.46
123900	-8.41	-8.41	-8.41
124000	-8.38	-8.38	-8.38
124100	-8.48	-8.48	-8.48
124200	-8.45	-8.45	-8.44
124300	-8.44	-8.44	-8.43
124400	-8.41	-8.41	-8.40
124500	-8.40	-8.40	-8.39
124600	-8.40	-8.40	-8.38
124700	-8.47	-8.47	-8.45
124800	-8.33	-8.33	-8.31
124900	-8.44	-8.44	-8.42
125000	-999	-8.38	-8.35
125100	-8.31	-8.31	-8.28
125200	-999	-8.36	-8.33
125300	-8.41	-8.41	-8.38
125400	-8.17	-8.17	-8.14
125500	-999	-8.20	-8.16
125600	-8.22	-8.22	-8.19
125700	-999	-8.22	-8.19
125800	-999	-8.22	-8.19
125900	-8.22	-8.22	-8.19
126000	-999	-8.06	-8.02
126100	-7.89	-7.89	-7.85
126200	-8.01	-8.01	-7.97
126300	-999	-7.85	-7.81
126400	-7.68	-7.68	-7.64
126500	-8.03	-8.03	-7.99
126600	-999	-7.82	-7.77
126700	-7.60	-7.60	-7.56
126800	-8.13	-8.13	-8.09
126900	-7.78	-7.78	-7.74
127000	-999	-7.93	-7.88
127100	-8.08	-8.08	-8.03
127200	-7.83	-7.83	-7.78
127300	-7.93	-7.93	-7.88
127400	-999	-7.90	-7.85
127500	-7.86	-7.86	-7.81
127600	-999	-7.84	-7.79
127700	-7.81	-7.81	-7.76
127800	-7.46	-7.46	-7.41
127900	-7.58	-7.58	-7.53
128000	-7.38	-7.38	-7.33
128100	-7.44	-7.44	-7.39
128200	-7.24	-7.24	-7.19
128300	-7.24	-7.24	-7.19
128400	-7.67	-7.67	-7.62
128500	-7.41	-7.41	-7.36
128600	-7.57	-7.57	-7.53
128700	-7.67	-7.67	-7.63
128800	-7.21	-7.21	-7.17
128900	-7.23	-7.23	-7.19
129000	-7.28	-7.28	-7.24
129100	-6.98	-6.98	-6.94
129200	-6.98	-6.98	-6.94
129300	-7.08	-7.08	-7.04
129400	-7.18	-7.18	-7.15
129500	-6.86	-6.86	-6.83
129600	-6.78	-6.78	-6.75
129700	-6.56	-6.56	-6.53
129800	-6.38	-6.38	-6.35
129900	-6.49	-6.49	-6.47
130000	-6.44	-6.44	-6.42
130100	-6.48	-6.48	-6.46
130200	-6.55	-6.55	-6.53
130300	-6.44	-6.44	-6.42
130400	-6.48	-6.48	-6.47
130500	-6.67	-6.67	-6.66
130600	-6.68	-6.68	-6.67
130700	-6.68	-6.68	-6.67
130800	-6.64	-6.64	-6.63
130900	-6.57	-6.57	-6.57
131000	-6.87	-6.87	-6.87
131100	-6.79	-6.79	-6.79
131200	-6.94	-6.94	-6.94
131300	-6.83	-6.83	-6.83
131400	-6.80	-6.80	-6.81
131500	-6.86	-6.86	-6.87
131600	-6.82	-6.82	-6.83
131700	-6.77	-6.77	-6.78
131800	-6.82	-6.82	-6.84
131900	-6.72	-6.72	-6.74
132000	-6.61	-6.61	-6.63
132100	-6.48	-6.48	-6.50
132200	-6.45	-6.45	-6.47
132300	-6.76	-6.76	-6.78
132400	-6.83	-6.83	-6.86
132500	-6.89	-6.89	-6.92
132600	-6.79	-6.79	-6.82
132700	-6.67	-6.67	-6.70
132800	-6.67	-6.67	-6.71
132900	-6.66	-6.66	-6.70
133000	-6.59	-6.59	-6.64
133100	-6.81	-6.81	-6.86
133200	-7.03	-7.03	-7.09
133300	-7.28	-7.28	-7.35
133400	-7.29	-7.29	-7.37
133500	-7.16	-7.16	-7.25
133600	-7.11	-7.11	-7.22
133700	-6.79	-6.79	-6.91
133800	-6.90	-6.90	-7.04
133900	-6.82	-6.82	-6.97
134000	-7.13	-7.13	-7.30
134100	-7.08	-7.08	-7.27
134200	-7.05	-7.05	-7.26
134300	-7.07	-7.07	-7.30
134400	-7.01	-7.01	-7.27
134500	-7.01	-7.01	-7.29
134600	-6.96	-6.96	-7.26
134700	-6.96	-6.96	-7.29
134800	-6.93	-6.93	-7.28
134900	-7.14	-7.14	-7.51
