age,temp
12600,-0.7502555366269166
12700,-0.5441226575809199
12800,-0.5548986486486487
12900,-0.5701013513513514
13000,-0.5853040540540541
13100,-0.6005067567567568
13200,-0.6157094594594594
13300,-0.6340931780366057
13400,-0.7023128119800333
13500,-0.7705324459234608
13600,-0.8387520798668885
13700,-0.9069717138103162
13800,-0.9751913477537438
13900,-1.0400787401574803
14000,-1.0416535433070866
14100,-1.043228346456693
14200,-1.0448031496062993
14300,-1.0463779527559056
14400,-1.047952755905512
14500,-1.049527559055118
14600,-1.0609375
14700,-1.0765625
14800,-1.0921875
14900,-1.1078124999999999
15000,-1.1234374999999999
15100,-1.1390624999999999
15200,-1.1755707762557077
15300,-1.260806697108067
15400,-1.3460426179604261
15500,-1.4312785388127853
15600,-1.5165144596651445
15700,-1.6017503805175037
15800,-1.686986301369863
15900,-1.7088682170542635
16000,-1.7073178294573643
16100,-1.7057674418604651
16200,-1.704217054263566
16300,-1.7026666666666666
16400,-1.7011162790697674
16500,-1.7141666666666666
16600,-1.7647619047619048
16700,-1.815357142857143
16800,-1.865952380952381
16900,-1.9165476190476192
17000,-1.967142857142857
17100,-2.017738095238095
17200,-2.023431952662722
17300,-1.9938461538461538
17400,-1.9642603550295858
17500,-1.9346745562130179
17600,-1.9050887573964497
17700,-1.8755029585798817
17800,-1.8459171597633137
17900,-1.893252647503782
18000,-1.95981845688351
18100,-2.0263842662632374
18200,-2.0929500756429653
18300,-2.1595158850226928
18400,-2.22608169440242
18500,-2.282606707317073
18600,-2.296326219512195
18700,-2.310045731707317
18800,-2.323765243902439
18900,-2.337484756097561
19000,-2.351204268292683
19100,-2.364923780487805
19200,-2.3507339449541287
19300,-2.3201529051987766
19400,-2.289571865443425
19500,-2.2589908256880733
19600,-2.2284097859327217
19700,-2.19782874617737
19800,-2.1694545454545455
19900,-2.163393939393939
20000,-2.1573333333333333
20100,-2.151272727272727
20200,-2.145212121212121
20300,-2.1391515151515152
20400,-2.133090909090909
20500,-2.1328994082840236
20600,-2.138816568047337
20700,-2.144733727810651
20800,-2.1506508875739643
20900,-2.156568047337278
21000,-2.1624852071005916
21100,-2.1684023668639054
21200,-2.188467261904762
21300,-2.2137648809523807
21400,-2.2390624999999997
21500,-2.264360119047619
21600,-2.289657738095238
21700,-2.314955357142857
21800,-2.3404962406015035
21900,-2.3901203007518794
22000,-2.4397443609022558
22100,-2.4893684210526317
22200,-2.5389924812030076
22300,-2.5886165413533835
22400,-2.6382406015037594
22500,-2.6715999999999998
22600,-2.6760444444444444
22700,-2.6804888888888887
22800,-2.6849333333333334
22900,-2.6893777777777776
23000,-2.6938222222222223
23100,-2.698266666666667
23200,-2.6991310541310543
23300,-2.6977065527065527
23400,-2.6962820512820516
23500,-2.69485754985755
23600,-2.6934330484330484
23700,-2.692008547008547
23800,-2.6905840455840457
23900,-2.712217573221757
24000,-2.7498744769874475
24100,-2.787531380753138
24200,-2.8251882845188283
24300,-2.8628451882845187
24400,-2.900502092050209
24500,-2.9381589958158996
24600,-2.9889851150202977
24700,-3.0579972936400543
24800,-3.1270094722598105
24900,-3.196021650879567
25000,-3.2650338294993233
25100,-3.33404600811908
25200,-3.4030581867388365
25300,-3.471407506702413
25400,-3.518324396782842
25500,-3.565241286863271
25600,-3.6121581769436997
25700,-3.6590750670241285
